address,email,hours,image,lat,lng,name,phone,url,id,image_path
"1181 E Bristol Rd Burton, Mi 48529",,"Mon - Sat, 9am - 10pm; Sun, 9am - 9pm",\x,42.9750139,-83.68628129999999,Dollar Express,810-341-5070,,491,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_491.png
"2015 Coldwater Rd Flint, Mi 48505",,"Mon - Sun , 8am - 9pm",\x,43.0900129,-83.7145616,Dollar General Store #13249,(810) 250-7654,,497,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_497.png
"2452 W Hill Rd Flint, Mi 48507",,Mon - Sat: 9:00am - 10:00pm | Sun: 10:00am - 8:00pm,\x,42.9446027,-83.7291821,Dollar Tree #4122,810-762-1054,,501,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_501.png
"5219 Corunna Rd Flint, Mi 48532",,"Mon - Sun , 8am - 10pm",\x,43.0004274,-83.7809709,Dollar General Store #8528,(810) 732-7801,,509,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_509.png
"5038 Miller Road Flint, Mi 48507",,"Mon - Sat, 9am - 9pm; Sun, 10am - 7pm",\x,42.9776375,-83.7745186,Ollies Bargain Outlet Inc,(810) 820-3105,,513,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_513.png
"4270 Corunna Rd Flint, Mi 48532",,Monday - Friday 9am - 8pm;Saturday 9am - 8pm;Sunday 10am - 8pm,\x,43.0031675,-83.7636228,Aldi #81,(No branch phone number),,515,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_515.png
"2501 Flushing Rd Flint, Mi 48504",,24/7,\x,43.0216024,-83.7224073,University Mini Mart Llc,810-239-6761,,521,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_521.png
"3491 Pierson Flint, Mi 48504",,"Mon - Sat, 10am - 6pm; closed holidays",\x,43.0603079,-83.7522,Snack Depot,(810) 789-8780,,527,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_527.png
"1356 W Hill Rd Flint, Mi 48507",,"Mon - Fri, 8am - 7pm; Sat, 8am - 6pm; Sun, 10am - 5pm",\x,42.9448744,-83.7053834,Bimbo Bakeries Usa Inc,(810) 239-8070,,531,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_531.png
"5131 S Saginaw Flint, Mi 48507",,Mon-Sat: 9 am - 6 pm,\x,42.9819307,-83.6744228,Aldos Italian Bakery,(810) 744-9123,,533,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_533.png
"1361 W Coldwater Mt Morris Twp, Mi 48505",,,\x,43.089871,-83.70814600000001,Pick & Save Supermarket - Flint,(810) 820-9111,,535,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_535.png
"4141 Morrish Rd Swartz Creek, Mi 48473",,,\x,42.9682383,-83.8270829,Meijer Inc #259,,,537,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_537.png
"710 S Mill Clio, Mi 48420",,,\x,43.1713614,-83.7360174,Vgs Food #1925,,,541,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_541.png
"7461 N Genesee Genesee, Mi 48437",,,\x,43.1185873,-83.61880560000002,Vgs Food #1929,,,543,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_543.png
"6170 S Saginaw Grand Blanc, Mi 48439",,,\x,42.9410648,-83.64634430000001,Wal-Mart Store #3726,,,547,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_547.png
"7188 N Saginaw Rd Mt Morris, Mi 48458",,,\x,43.1105195,-83.6932697,Kroger Store #407,,,557,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_557.png
"4392 N Irish Rd Davison, Mi 48423",,,\x,43.0736298,-83.5558997,Outdoor Adventures Lake Shore Resort,,,1093,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1093.png
"6160 S Saginaw Rd Grand Blanc, Mi 48439",,,\x,42.8868803,-83.5997191,Sam'S Club #4944,,,571,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_571.png
"901 S State St Davison, Mi 48423",,,\x,43.0197011,-83.51693519999999,Walgreens #10953,,,577,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_577.png
"11801 N Saginaw St Mount Morris, Mi 48458",,,\x,43.1198612,-83.69497779999999,Rite Aid #7736,,,589,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_589.png
"521 N. State Rd. Davison, Mi 48423",,,\x,43.0341872,-83.5188048,Rite Aid #7738,,,591,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_591.png
"4515 E Mt Morris Rd Mount Morris, Mi 48437",,,\x,43.121047,-83.6186299,Rite Aid Pharmacy #4447,,,599,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_599.png
"841 S State Rd Davison, Mi 48423",,,\x,43.0207246,-83.51686939999999,Rite Aid Pharmacy #4439,,,601,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_601.png
"602 W Broad Linden, Mi 48451",,,\x,42.8134066,-83.7894486,Rite Aid Disc Pharmacy  #3452,,,607,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_607.png
"803 South State Rd Davison, Mi 48423",,,\x,43.022088,-83.5164788,General Nutrition  #8640,,,617,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_617.png
"17205 Silver Parkway Fenton, Mi 48430",,,\x,42.7947455,-83.7363482,General Nutrition Center #5862,,,621,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_621.png
"3035 E Grand Blanc Rd Grand Blanc, Mi 48439",,,\x,42.9167159,-83.6502878,Grand Food Castle,,,625,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_625.png
"3517 S Belsay Rd Burton, Mi 48519",,,\x,42.9760438,-83.59317930000002,Nehrings Market Inc,,,627,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_627.png
"11911 S Saginaw Grand Blanc, Mi 48439",,,\x,42.9239052,-83.6252195,Saginaw Fuel South Llc,,,631,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_631.png
"11843 S Saginaw Grand Blanc, Mi 48439",,,\x,42.9243061,-83.6258153,Saginaw Fuel Mid Llc,,,637,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_637.png
"1235 Irish Rd Davison, Mi 48423",,,\x,43.0259968,-83.55611859999999,Meijer Gas Station #244,,,641,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_641.png
"8005 Davison Rd Davison, Mi 48423",,,\x,43.03472070000001,-83.5559414,One Stop Food Store #31,,,647,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_647.png
"436 N Leroy Fenton, Mi 48430",,,\x,42.8000862,-83.7046941,Mr Js Petroleum/Clark,,,651,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_651.png
"1435 E Hill Rd Grand Blanc, Mi 48439",,,\x,42.9444814,-83.67592929999999,Speedway #8763,,,655,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_655.png
"8333 N Saginaw Rd Mt Morris, Mi 48458",,,\x,43.128563,-83.69496099999999,Speedway #8386,,,657,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_657.png
"3245 Owen Rd Fenton, Mi 48430",,,\x,42.7893705,-83.7362249,Speedway  #8405,,,661,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_661.png
"7512 N Dort Hwy Mt Morris, Mi 48458",,,\x,43.1193489,-83.67568969999999,One Stop Food Store #19,,,665,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_665.png
"4181 W Mt Morris Rd Mt Morris, Mi 48458",,,\x,43.118075,-83.761409,Beacon & Bridge Market #7,,,667,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_667.png
"1177 S State Rd Davison, Mi 48423",,,\x,43.015136,-83.5170574,Speedway #8403,,,671,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_671.png
"3117 Sheridan Blvd Lennon, Mi 48449",,,\x,42.9835885,-83.9282071,Speedway #8797,,,675,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_675.png
"5550 Fenton Rd Flint, Mi 48507",,,\x,42.944675,-83.6926253,Speedway #2227,,,677,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_677.png
"3011 Thompson Rd Fenton, Mi 48430",,,\x,42.8624216,-83.7297507,Beacon & Bridge Market #4,,,681,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_681.png
"11536 N Saginaw Mt Morris, Mi 48458",,,\x,43.1169463,-83.6940267,One Stop Food Store #14,,,685,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_685.png
"6533 W Pierson Flushing, Mi 48433",,,\x,43.0599065,-83.8125985,Speedway #2346,,,687,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_687.png
"10318 Hegel Rd Goodrich, Mi 48438",,,\x,42.9166867,-83.5020758,Beacon & Bridge Market #29,,,691,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_691.png
"227 E Main St Flushing, Mi 48433",,,\x,43.06337329999999,-83.8530799,Beacon & Bridge Market #12,,,695,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_695.png
"4019 N State Rd Davison, Mi 48423",,,\x,43.0641138,-83.51888339999999,Speedway #8389,,,697,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_697.png
"9523 S Saginaw Grand Blanc, Mi 48439",,,\x,42.8879274,-83.5986447,Warwick Party Shoppe,,,1099,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1099.png
"8147 S State St Goodrich, Mi 48438",,,\x,42.913639,-83.500789,Dollar General Store # 13754,,,707,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_707.png
"15286 Silver Pkwy Fenton, Mi 48430",,,\x,42.8011456,-83.7349246,Dollar Tree #3906,,,711,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_711.png
"5452 S Saginaw Flint, Mi 48507",,,\x,42.9507776,-83.65759349999999,Dollar General #11013,,,717,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_717.png
"11276 Vienna Rd Montrose, Mi 48457",,,\x,43.1765426,-83.90469929999999,Dollar General Store #10194,,,721,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_721.png
"6000 Lapeer Rd Burton, Mi 48509",,,\x,43.0100003,-83.5943439,Family Dollar Stores Of Mich #4548,,,727,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_727.png
"550 S Mill St Clio, Mi 48420",,,\x,43.1727567,-83.73526129999999,Family Dollar Stores Of Mich #2603,,,731,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_731.png
"5340 Pierson Rd Flushing, Mi 48433",,,\x,43.0610843,-83.7858795,Aldi #82,,,739,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_739.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Michigan Nut Company Llc,,,743,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_743.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Rebecca'S Bakery,,,749,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_749.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Bonnie Lass Products,,,753,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_753.png
"1539 N Leroy Fenton, Mi 48430",,,\x,42.819321,-83.70814899999999,Fun With Frosting,,,755,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_755.png
"8572 Silver Lake Rd Linden, Mi 48451",,,\x,42.79180849999999,-83.8441945,Keepers Of Eden Organics,,,759,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_759.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Crust,,,761,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_761.png
"6429 W Pierson Rd Flushing, Mi 48433",,,\x,43.0597733,-83.80839139999999,Tcb Sweets  Treats Llc,,,765,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_765.png
"11100 Bendix Dr Goodrich, Mi 48438",,,\x,42.8990575,-83.4870662,The Healthy Treats Factory,,,769,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_769.png
"9010 Miller Rd Swartz Creek, Mi 48473",,,\x,42.95741719999999,-83.85076029999999,Creeks Convenience Store,,,779,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_779.png
"11901 N Saginaw Mount Morris, Mi 48458",,,\x,43.1207444,-83.6948932,Mt Morris Quick Stop,,,783,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_783.png
"7070 N Saginaw St Mount Morris, Mi 48458",,,\x,43.1068851,-83.6943726,Short Horn Meats Of Mt Morris,,,787,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_787.png
"1413 Flushing Rd Flushing, Mi 48433",,,\x,43.05977,-83.82200000000002,1413 Flushing Inc,,,789,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_789.png
"11529 S Saginaw St Grand Blanc, Mi 48439",,,\x,42.9272019,-83.6283964,Michigans Greatest Fudge,,,793,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_793.png
"118055 Silver Pkwy Fenton, Mi 48430",,,\x,42.7994675,-83.7359694,Kmart #4700,,,799,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_799.png
"12278 Clio Rd Clio, Mi 48420",,,\x,43.18519939999999,-83.7343781,Mustang Marathon Inc,,,803,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_803.png
"8110 E Court Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Penzien Produce,,,807,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_807.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Living Water Ltd,,,809,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_809.png
"8110 E Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,The Egg Basket,,,813,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_813.png
"8110 East Court St Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Diva Licious Fudge Co,,,817,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_817.png
"8110 E Court Davison, Mi 48423",,,\x,43.0184027,-83.5512835,Bon Appetit Catering - J Deans,,,819,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_819.png
"11701 Union St Mount Morris, Mi 48458",,,\x,43.1186161,-83.6933145,Farmer Frank'S Produce,,,823,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_823.png
"105 W Shiawassee Fenton, Mi 48430",,,\x,42.7927594,-83.7055702,Fentons Open Book,,,827,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_827.png
"8010 N Dort Hwy Mount Morris, Mi 48458",,,\x,43.1202769,-83.675752,N Dort Express Stop #134 Llc,,,829,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_829.png
"4141 W Vienna Rd Clio, Mi 48420",,,\x,43.1771086,-83.75923399999999,Clio Investment Inc,,,833,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_833.png
"2181 W Vienna Rd Clio, Mi 48420",,,\x,43.1768516,-83.7204325,Clio Liquor Inc,,,839,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_839.png
"7110 N Saginaw Rd Mount Morris, Mi 48458",,,\x,43.1077542,-83.6938048,G.A.S.H. Of Mt Morris Inc,,,843,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_843.png
"1375 N Leroy St Fenton, Mi 48430",,,\x,42.8146539,-83.70841419999999,Enmar Fuel Stop One Inc,,,847,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_847.png
"409 S Leroy St Fenton, Mi 48430",,,\x,42.793029,-83.7049474,Round Town Cupcakes,,,849,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_849.png
"2215 E Hill Rd Grand Blanc, Mi 48439",,,\x,42.9450821,-83.6640791,Edible Arrangements,,,853,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_853.png
"9515 Vienna Rd Otisville, Mi 48463",,,\x,43.1817596,-83.5206712,Vienna Mini Mart,,,857,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_857.png
"11018 Davison Rd Davison, Mi 48423",,,\x,43.0347543,-83.4976679,Davison Liquor,,,859,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_859.png
"3238 Owen Rd Fenton, Mi 48430",,,\x,42.790124,-83.736224,Owen Road Fuel Llc,,,863,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_863.png
"106 S Leroy St Fenton, Mi 48430",,,\x,42.7962461,-83.70509270000001,Marjie'S Gluten Free Pantry,,,867,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_867.png
"11225 N Saginaw Mount Morris, Mi 48458",,,\x,43.1141814,-83.6947015,Racer Drive Thru,,,869,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_869.png
"12450 Vienna Rd Montrose, Mi 48457",,,\x,43.1764839,-83.9293484,Montrose Mini Mart One Inc,,,873,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_873.png
"226 E Main St Flushing, Mi 48433",,,\x,43.0627976,-83.8529142,Fuel & Tobacco Stop Inc,,,877,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_877.png
"2242 N Long Lake Fenton, Mi 48430",,,\x,42.8569671,-83.716053,Lakeside Market,,,879,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_879.png
"8572 Silver Lake Rd Linden, Mi 48451",,,\x,42.79180849999999,-83.8441945,Dales Cheesecake Shoppe,,,883,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_883.png
"3346 W Vienna Rd Clio, Mi 48420",,,\x,43.1778685,-83.7479268,C & S Fuel Mart,,,887,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_887.png
"7410 E Court St Davison, Mi 48423",,,\x,43.0182789,-83.5599783,Menards,,,889,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_889.png
"5342 Corunna Flint, Mi 48532",,,\x,43.002405,-83.78531799999999,Sindbad,,,897,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_897.png
"8463 Davison Rd Davison, Mi 48423",,,\x,43.035535,-83.53947699999999,A & B Of Davison,,,899,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_899.png
"8399 Bristol Rd Davison, Mi 48423",,,\x,42.9803205,-83.5397455,Conquest Scents Inc,,,903,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_903.png
"11121 Fenton Fenton, Mi 48430",,,\x,42.86774279999999,-83.69647669999999,Fenton Market,,,905,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_905.png
"1372 East Lake Street Clio, Mi 48420",,,\x,43.2072651,-83.68946869999999,Lake Market,,,909,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_909.png
"7302 W Mt Morris Rd Flushing, Mi 48433",,,\x,43.118235,-83.82515889999999,M & S Party Store Inc,,,913,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_913.png
"517 E Broad St Linden, Mi 48451",,,\x,42.8151219,-83.7753048,Calabria Village Llc,,,917,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_917.png
"7515 Clio Rd Mount Morris, Mi 48458",,,\x,43.1180988,-83.73425010000001,Twin Clio Inc,,,919,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_919.png
"4314 W Mt Morris Mount Morris, Mi 48458",,,\x,43.1193224,-83.76606389999999,R D R Oil Inc,,,923,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_923.png
"431 W Vienna Rd Clio, Mi 48420",,,\x,43.1777566,-83.7262665,Clio Bp,,,925,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_925.png
"254 W State St Montrose, Mi 48457",,,\x,43.1766207,-83.8988408,Montrose Express,,,929,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_929.png
"2330 Grand Blanc Rd Grand Blanc, Mi 48439",,,\x,42.9149469,-83.6589979,Grand Blanc Road Business Corp Dba Us 23 Bp,,,937,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_937.png
"2461 North Rd Fenton, Mi 48430",,,\x,42.8041094,-83.7252796,Smittys Exit 80,,,939,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_939.png
"2514 S Belsay Rd Burton, Mi 48519",,,\x,42.990499,-83.59493900000001,Bill Llc,,,943,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_943.png
"441 W Main St Flushing, Mi 48433",,,\x,43.0625955,-83.8621711,Marthas Quik Stop Inc,,,949,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_949.png
"3235 Thompson Rd Fenton, Mi 48430",,,\x,42.86224259999999,-83.7382583,Party Tyme Deli & Spirits,,,953,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_953.png
"110 E State St Montrose, Mi 48457",,,\x,43.175994,-83.89245969999999,Conlee Oil Mart,,,955,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_955.png
"7226 N Genesee Genesee, Mi 48437",,,\x,43.112282,-83.617302,Johns Marathon,,,963,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_963.png
"9291 Holly Rd Grand Blanc, Mi 48439",,,\x,42.8938265,-83.63184059999999,Holly Road Bp,,,965,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_965.png
"10001 N State Rd Otisville, Mi 48463",,,\x,43.152027,-83.5209777,Sams Korners,,,969,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_969.png
"10211 Clio Rd Clio, Mi 48420",,,\x,43.1540596,-83.7347309,Vics Grocery,,,1067,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1067.png
"2525 E Mt Morris Rd Mt Morris, Mi 48458",,,\x,43.1205405,-83.6583653,Tony R'S Market,,,1069,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1069.png
"13257 Jennings Rd Linden, Mi 48451",,,\x,42.8340915,-83.74554069999999,Hayloft The,,,1071,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1071.png
"6036 Lobdell Rd Linden, Mi 48451",,,\x,42.7870772,-83.788704,"Muellers Orchards, Seasonal",,,1075,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1075.png
"1545 N Leroy St Fenton, Mi 48430",,,\x,42.8196153,-83.7082066,50 Sips Wine Llc,,,1077,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1077.png
"331 N Main Street Davison, Mi 48423",,,\x,43.03249100000001,-83.517093,Davison Home Bakery,,,1081,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1081.png
"3255 Owen Rd Fenton, Mi 48430",,,\x,42.7867122,-83.7373897,Target Store T-2105,,,1085,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1085.png
"16177 Seymour Rd Linden, Mi 48451",,,\x,42.79112,-83.84543099999999,Northshore Market,,,1087,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1087.png
"252 Perry Rd Ste C Grand Blanc, Mi 48439",,,\x,42.92409989999999,-83.6236347,Great Harvest Bread Company,,,1091,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1091.png
"8039 State Road Goodrich, Mi 48438",,,\x,42.9174503,-83.50139709999999,Church & Son'S Auto Center,,,1095,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1095.png
"1553 E Hill Rd Grand Blanc, Mi 48439",,,\x,42.94482250000001,-83.67149400000001,Oliver Ts,,,1097,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1097.png
"420 E Blvd Dr Flint, Mi 48503",,,\x,43.0251446,-83.68516,Soozie Qs,,,1103,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1103.png
"5279 W Pierson Rd Flushing, Mi 48433",,,\x,43.05995619999999,-83.7832504,Mattis Auto Wash Inc,,,1107,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1107.png
"8592 N Seymour Rd Flushing, Mi 48433",,,\x,43.132774,-83.877723,Vics Market,,,1111,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1111.png
"3103 Silver Lake Rd Fenton, Mi 48430",,,\x,42.8038722,-83.73219209999999,Silver Pte Shell,,,987,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_987.png
"1509 S State Rd Davison, Mi 48423",,,\x,43.0091908,-83.51725309999999,1 Stop Food Store #30,,,991,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_991.png
"12018 Liberty Clio, Mi 48420",,,\x,43.178088,-83.715648,Aldrichs Citgo,,,997,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_997.png
"1014 Grand Blanc Rd Grand Blanc, Mi 48439",,,\x,42.9150728,-83.6916428,E Z Run Of Grand Blanc,,,1001,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1001.png
"10013 E Mt Morris Rd Davison, Mi 48423",,,\x,43.1259351,-83.51839,Parkway Food Store,,,1005,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1005.png
"3041 Grand Blanc Rd Grand Blanc, Mi 48439",,,\x,42.9166288,-83.6503156,Grand Castle Mart Inc,,,1009,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1009.png
"118 E Main Flushing, Mi 48433",,,\x,43.0628,-83.8550681,Main Street Treasures,,,1011,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1011.png
"11566 N Saginaw Clio, Mi 48420",,,\x,43.1769869,-83.7137978,Tonys Inc,,,1015,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1015.png
"4006 N Irish Rd Davison, Mi 48423",,,\x,43.063272,-83.557164,Bakers Market,,,1017,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1017.png
"5124 E Hill Rd Grand Blanc, Mi 48439",,,\x,42.9446921,-83.6085257,Tonys Kwik Mart,,,1021,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1021.png
"5545 S State Rd Goodrich, Mi 48438",,,\x,42.947639,-83.504226,Last Chance Party Store,,,1029,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1029.png
"101 W Shiawassee Ave Fenton, Mi 48430",,,\x,42.7927526,-83.70544559999999,Sweet Variations Inc,,,1031,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1031.png
"402 Silver Lake Rd Fenton, Mi 48430",,,\x,42.7985383,-83.7091408,Revana Gas Station,,,1039,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1039.png
"7010 W Frances Rd Flushing, Mi 48433",,,\x,43.133834,-83.81439499999999,Hoagies Party Store,,,1043,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1043.png
"5519 N Elms Rd Flushing, Mi 48433",,,\x,43.08896,-83.81393899999999,Bears Corner Party Shop Inc,,,1045,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1045.png
"213 N State Otisville, Mi 48463",,,\x,43.1677963,-83.5249795,Conlee Oil Co,,,1049,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1049.png
"9144 N Dort Hwy Mt Morris, Mi 48458",,,\x,43.1380399,-83.683973,Pony Keg,,,1051,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1051.png
"11230 S Saginaw Grand Blanc, Mi 48439",,,\x,42.9302171,-83.6338246,Aremia International Party Shoppe,,,1055,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1055.png
"8464 W Mt Morris Rd Flushing, Mi 48433",,,\x,43.1181312,-83.8513195,Ginos Quik Stop,,,1059,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1059.png
"5522 N State Rd Davison, Mi 48423",,,\x,43.0923933,-83.51780699999999,Heidi'S Market,,,1061,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1061.png
"3838 Richfield Rd Flint, Mi 48506",,Sun - Sat: 6 AM - Midnight,\x,43.0510374,-83.6368359,Kroger Store #115,(810) 736-0320,,23,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_23.png
"2002 W Pierson Rd Flint, Mi 48504",,"Mon - Sat, 9am - 8pm; Sun, 9am - 6pm",\x,43.0612186,-83.7299582,Shorthorn Meat Market,(810) 820 - 4910,,27,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_27.png
